nodename	lower	upper	average
1087	2347.3	1911.83	2129.565
1310	2593.5	2239.9	2416.7
1382	2676.61	2342.2	2509.4049999999997
1425	2744.68	2408.75	2576.715
895	1742.17	1170.74	1456.455
1171	2456.17	2062.1	2259.135
1126	2406.16	1981.97	2194.065
1249	2536.09	2167.88	2351.985
1362	2665.95	2313.16	2489.555
1415	2734.97	2390.53	2562.75
1499	2844.85	2522.59	2683.7200000000003
1534	2906.36	2586.84	2746.6000000000004
1563	2954.89	2635.04	2794.965
1385	2712.39	2309.98	2511.185
1192	2488.59	2073.43	2281.01
1115	2389.82	1949.39	2169.605
1413	2731.6	2380.95	2556.2749999999996
886	1566.16	1163.59	1364.875
878	1392.48	1059.09	1225.7849999999999
884	1551.64	1174.94	1363.29
868	1091.7	627.036	859.3679999999999
876	1331.56	923.756	1127.658
882	1513.48	1122.72	1318.1
892	1643.76	1269.0	1456.38
897	1708.56	1330.09	1519.3249999999998
914	1857.1	1467.63	1662.365
939	1989.34	1597.89	1793.615
1494	2836.93	2489.48	2663.205
1524	2888.31	2556.3	2722.3050000000003
1564	2957.01	2632.54	2794.775
1602	3029.57	2710.64	2870.105
1643	3145.38	2829.57	2987.4750000000004
1685	3270.62	2948.42	3109.52
1700	3333.21	3006.56	3169.885
1711	3445.13	3065.62	3255.375
1681	3327.02	2857.1	3092.06
1716	3466.68	3114.79	3290.7349999999997
1709	3424.72	3061.28	3243.0
1724	3532.0	3201.42	3366.71
1566	2984.65	2605.48	2795.065
1634	3114.42	2774.43	2944.425
1576	2991.51	2625.76	2808.635
1635	3113.46	2786.75	2950.105
1244	2540.07	2135.68	2337.875
1391	2710.32	2349.26	2529.79
1275	2575.36	2178.89	2377.125
1253	2541.49	2156.29	2348.89
1112	2366.8	1967.86	2167.33
1031	2253.94	1830.02	2041.98
1160	2421.55	2043.76	2232.655
1221	2490.77	2124.19	2307.48
1376	2673.97	2328.78	2501.375
1419	2734.98	2394.68	2564.83
1458	2776.49	2442.7	2609.595
1537	2912.2	2585.64	2748.92
1551	2930.14	2607.09	2768.615
1596	3019.94	2699.9	2859.92
1637	3104.09	2793.9	2948.995
1270	2562.4	2191.02	2376.71
1093	2343.88	1949.55	2146.715
1156	2413.27	2039.68	2226.475
1119	2377.56	1979.22	2178.39
1245	2522.01	2170.47	2346.24
984	2155.61	1685.82	1920.7150000000001
1304	2580.96	2235.38	2408.17
1374	2662.61	2326.35	2494.48
1435	2749.26	2421.44	2585.3500000000004
1547	2927.84	2600.67	2764.255
1592	3007.99	2691.63	2849.81
1664	3192.89	2897.63	3045.26
1679	3244.74	2951.81	3098.2749999999996
1590	3031.8	2649.81	2840.8050000000003
1627	3093.76	2754.97	2924.365
1689	3270.66	2972.96	3121.81
1698	3310.34	3018.46	3164.4
1389	2750.37	2259.96	2505.165
1645	3160.51	2818.15	2989.33
1648	3178.82	2816.22	2997.52
1475	2849.97	2387.35	2618.66
1661	3208.38	2869.75	3039.065
1694	3295.82	2990.06	3142.94
1699	3319.44	3020.45	3169.9449999999997
1714	3413.03	3121.88	3267.455
1043	2296.91	1810.68	2053.795
1265	2568.85	2170.99	2369.92
1215	2522.23	2073.08	2297.6549999999997
1380	2690.73	2306.83	2498.7799999999997
