COG	metadata	polarity
COG1957	Mean_Oxygen	negative
COG0598	sqrt_iron	positive
COG3266	log_PO4	positive
COG0542	log_NO2NO3	negative
COG1132	sqrt_iron	negative
COG0737	sqrt_iron	positive
COG1662	Mean_Oxygen	negative
COG0461	Mean_Oxygen	negative
COG3530	log_PO4	positive
COG0786	sqrt_iron	negative
COG1310	Mean_Oxygen	negative
COG4653	log_NO2NO3	negative
COG2971	sqrt_iron	positive
COG0444	sqrt_iron	positive
COG0745	log_PO4	negative
COG1628	Mean_Oxygen	negative
COG1193	sqrt_iron	negative
COG0063	Mean_Oxygen	negative
COG0103	log_PO4	negative
COG4581	sqrt_iron	negative
COG4213	Mean_Oxygen	positive
COG0333	sqrt_iron	negative
COG1035	sqrt_iron	positive
COG2881	log_NO2NO3	positive
COG1585	sqrt_iron	positive
COG3949	sqrt_iron	positive
COG3203	log_PO4	positive
COG1443	log_NO2NO3	positive
COG4324	Mean_Oxygen	negative
COG0646	Mean_Oxygen	negative
COG2110	Mean_Oxygen	negative
COG2191	Mean_Oxygen	negative
COG0609	Mean_Oxygen	positive
COG4775	sqrt_iron	negative
COG1049	Mean_Oxygen	positive
COG4807	log_PO4	positive
COG4456	sqrt_iron	positive
COG2023	Mean_Oxygen	negative
COG3427	sqrt_iron	positive
COG3492	sqrt_iron	positive
COG0654	Mean_Oxygen	positive
COG1672	log_PO4	positive
COG0750	log_NO2NO3	positive
COG3844	sqrt_iron	positive
COG3680	Mean_Oxygen	positive
COG2358	sqrt_iron	positive
COG1319	Mean_Oxygen	negative
COG1414	sqrt_iron	positive
COG0400	log_PO4	negative
COG2407	Mean_Oxygen	negative
COG0839	Mean_Oxygen	negative
COG3170	log_PO4	positive
COG0174	log_NO2NO3	positive
COG3380	Mean_Oxygen	positive
COG3608	log_PO4	positive
COG1965	sqrt_iron	positive
COG2969	sqrt_iron	positive
COG1429	sqrt_iron	negative
COG1617	Mean_Oxygen	negative
COG3191	Mean_Oxygen	negative
COG3456	log_PO4	positive
COG3889	log_NO2NO3	positive
COG1656	Mean_Oxygen	negative
COG4558	Mean_Oxygen	positive
COG2991	sqrt_iron	positive
COG2905	log_PO4	positive
COG2956	Mean_Oxygen	negative
COG5379	log_PO4	negative
COG4271	log_PO4	positive
COG5265	sqrt_iron	positive
COG4654	sqrt_iron	positive
COG2095	log_PO4	positive
COG3071	sqrt_iron	positive
COG2187	Mean_Oxygen	negative
COG0770	sqrt_iron	negative
COG0169	log_PO4	negative
COG1523	log_NO2NO3	negative
COG1414	log_PO4	positive
COG0388	Mean_Oxygen	negative
COG5212	Mean_Oxygen	negative
COG1915	log_NO2NO3	positive
COG0105	log_PO4	negative
COG4519	log_PO4	positive
COG0535	Mean_Oxygen	negative
COG0542	sqrt_iron	negative
COG0672	Mean_Oxygen	negative
COG1529	Mean_Oxygen	negative
COG1231	Mean_Oxygen	negative
COG1902	sqrt_iron	positive
COG5026	log_PO4	negative
COG1403	log_PO4	negative
COG3737	sqrt_iron	positive
COG4263	Mean_Oxygen	negative
COG0483	sqrt_iron	negative
COG1928	Mean_Oxygen	negative
COG1854	log_PO4	positive
COG2105	sqrt_iron	positive
COG1760	log_PO4	positive
COG1915	Mean_Oxygen	negative
COG3595	log_PO4	positive
COG3607	log_NO2NO3	negative
COG1894	sqrt_iron	positive
COG1195	Mean_Oxygen	positive
COG1832	log_NO2NO3	positive
COG0676	log_PO4	positive
COG3290	sqrt_iron	positive
COG1250	log_NO2NO3	positive
COG1858	sqrt_iron	positive
COG0026	Mean_Oxygen	positive
COG1894	Mean_Oxygen	negative
COG0006	Mean_Oxygen	negative
COG3253	Mean_Oxygen	negative
COG2957	Mean_Oxygen	negative
COG4690	Mean_Oxygen	negative
COG1089	sqrt_iron	negative
COG4230	log_PO4	positive
COG4268	log_PO4	positive
COG4123	Mean_Oxygen	positive
COG1395	Mean_Oxygen	negative
COG0109	log_NO2NO3	positive
COG2859	sqrt_iron	negative
COG3865	sqrt_iron	positive
COG3940	Mean_Oxygen	positive
COG1649	sqrt_iron	positive
COG3104	Mean_Oxygen	positive
COG3090	Mean_Oxygen	positive
COG0043	sqrt_iron	positive
COG3059	log_PO4	positive
COG3367	sqrt_iron	positive
COG4565	sqrt_iron	positive
COG4747	Mean_Oxygen	negative
COG5006	sqrt_iron	positive
COG2716	log_PO4	positive
COG0163	sqrt_iron	positive
COG1328	Mean_Oxygen	negative
COG1534	log_PO4	positive
COG4339	Mean_Oxygen	negative
COG1283	log_PO4	positive
COG5524	sqrt_iron	positive
COG1162	Mean_Oxygen	positive
COG3975	sqrt_iron	positive
COG3150	Mean_Oxygen	positive
COG1648	Mean_Oxygen	negative
COG0520	Mean_Oxygen	negative
COG4642	Mean_Oxygen	negative
COG0277	sqrt_iron	positive
COG1574	sqrt_iron	positive
COG0039	log_NO2NO3	positive
COG2036	Mean_Oxygen	negative
COG1257	log_NO2NO3	positive
COG1716	Mean_Oxygen	negative
COG3078	log_PO4	positive
COG1382	Mean_Oxygen	negative
COG1362	sqrt_iron	positive
COG3677	Mean_Oxygen	negative
COG1581	log_NO2NO3	positive
COG2990	log_PO4	positive
COG5518	sqrt_iron	positive
COG0425	Mean_Oxygen	negative
COG0103	log_NO2NO3	positive
COG2451	sqrt_iron	positive
COG2062	log_PO4	negative
COG0377	log_PO4	negative
COG3869	Mean_Oxygen	negative
COG2135	log_PO4	negative
COG1783	Mean_Oxygen	positive
COG3536	sqrt_iron	positive
COG3614	log_PO4	positive
COG1368	log_PO4	positive
COG1748	log_NO2NO3	positive
COG1151	Mean_Oxygen	negative
COG3298	sqrt_iron	positive
COG2402	Mean_Oxygen	negative
COG3006	log_PO4	positive
COG2170	Mean_Oxygen	negative
COG0484	log_NO2NO3	positive
COG2224	Mean_Oxygen	negative
COG5491	Mean_Oxygen	negative
COG4999	log_PO4	positive
COG4559	log_PO4	positive
COG3043	log_PO4	positive
COG0826	sqrt_iron	positive
COG3066	log_PO4	positive
COG0606	sqrt_iron	positive
COG1187	Mean_Oxygen	positive
COG3665	sqrt_iron	positive
COG3900	sqrt_iron	positive
COG1975	sqrt_iron	positive
COG1372	log_NO2NO3	negative
COG4895	log_PO4	positive
COG0225	sqrt_iron	negative
COG1055	log_NO2NO3	positive
COG1808	sqrt_iron	positive
COG3005	sqrt_iron	positive
COG1280	sqrt_iron	positive
COG1872	Mean_Oxygen	negative
COG1902	log_PO4	positive
COG2983	sqrt_iron	positive
COG4063	sqrt_iron	positive
COG0847	Mean_Oxygen	positive
COG0357	Mean_Oxygen	positive
COG0128	sqrt_iron	negative
COG1522	sqrt_iron	positive
COG3062	log_PO4	positive
COG5255	sqrt_iron	positive
COG0491	log_NO2NO3	positive
COG0436	Mean_Oxygen	negative
COG2159	sqrt_iron	positive
COG0235	sqrt_iron	positive
COG1278	Mean_Oxygen	negative
COG2265	sqrt_iron	positive
COG0702	Mean_Oxygen	positive
COG1448	Mean_Oxygen	positive
COG3620	log_NO2NO3	positive
COG3236	log_PO4	positive
COG3671	Mean_Oxygen	positive
COG0726	log_NO2NO3	positive
COG4392	Mean_Oxygen	positive
COG5607	Mean_Oxygen	negative
COG0658	sqrt_iron	positive
COG1988	Mean_Oxygen	positive
COG3345	sqrt_iron	positive
COG0685	Mean_Oxygen	negative
COG3470	sqrt_iron	negative
COG2071	log_NO2NO3	positive
COG4446	sqrt_iron	negative
COG1774	sqrt_iron	positive
COG1453	sqrt_iron	negative
COG3342	sqrt_iron	positive
COG0465	sqrt_iron	negative
COG2084	sqrt_iron	positive
COG3215	sqrt_iron	positive
COG4579	log_PO4	positive
COG2938	log_PO4	positive
COG3276	Mean_Oxygen	negative
COG1562	Mean_Oxygen	positive
COG3154	Mean_Oxygen	negative
COG1321	log_NO2NO3	positive
COG3098	log_PO4	positive
COG3880	Mean_Oxygen	negative
COG1146	Mean_Oxygen	negative
COG2246	sqrt_iron	negative
COG4878	log_NO2NO3	negative
COG4618	Mean_Oxygen	positive
COG1546	log_PO4	negative
COG0526	log_NO2NO3	positive
COG2915	sqrt_iron	positive
COG0247	Mean_Oxygen	negative
COG1628	log_NO2NO3	positive
COG3128	log_NO2NO3	negative
COG4815	log_PO4	positive
COG2850	sqrt_iron	positive
COG3850	Mean_Oxygen	negative
COG4341	log_NO2NO3	positive
COG0820	Mean_Oxygen	positive
