COG	metadata	polarity
COG4044	log_depth	positive
COG1407	log_depth	negative
COG3685	log_depth	positive
COG4335	size_fraction0.22-3	positive
COG0410	Mean_Oxygen	negative
COG1437	log_depth	positive
COG0366	log_NO2NO3	negative
COG1442	log_PO4	negative
COG3228	size_fraction0.22-3	positive
COG4682	log_PO4	positive
COG0420	log_depth	positive
COG0477	log_depth	positive
COG3243	Mean_Oxygen	negative
COG2860	log_depth	positive
COG3709	log_PO4	negative
COG3959	log_NO2NO3	positive
COG4716	log_depth	positive
COG1509	log_depth	positive
COG0243	Mean_Oxygen	negative
COG2866	size_fraction0.22-3	positive
COG1951	sqrt_iron	positive
COG1694	size_fraction0.22-3	negative
COG0708	log_depth	negative
COG3676	Mean_Oxygen	negative
COG2451	Mean_Oxygen	negative
COG3384	log_depth	positive
COG3164	log_PO4	positive
COG3803	sqrt_iron	positive
COG0419	log_depth	positive
COG4373	log_depth	positive
COG4420	log_depth	positive
COG4759	log_depth	positive
COG4987	size_fraction0.22-3	positive
COG3099	log_PO4	positive
COG0515	log_depth	positive
COG0713	Mean_Oxygen	negative
COG4231	Mean_Oxygen	negative
COG4289	Mean_Oxygen	negative
COG1512	size_fraction0.22-3	positive
COG0415	Mean_Oxygen	positive
COG3978	log_PO4	positive
COG1236	Mean_Temperature	positive
COG4579	sqrt_iron	positive
COG3530	log_depth	positive
COG4829	log_depth	positive
COG0220	Mean_Oxygen	positive
COG0643	log_depth	positive
COG2231	log_depth	positive
COG3541	log_depth	positive
COG3208	size_fraction0.22-3	positive
COG3708	log_depth	positive
COG1007	Mean_Oxygen	negative
COG1682	log_depth	positive
COG3137	log_depth	positive
COG4875	log_depth	positive
COG2716	log_depth	positive
COG4859	log_depth	positive
COG3865	size_fraction0.22-3	positive
COG4632	log_depth	positive
COG1067	log_depth	positive
COG3287	log_PO4	positive
COG3635	Mean_Oxygen	negative
COG0036	log_depth	negative
COG4729	log_depth	positive
COG1273	log_depth	positive
COG3326	log_depth	positive
COG3102	log_PO4	positive
COG4334	Absolute_Latitude	negative
COG5660	Mean_Oxygen	negative
COG0309	log_depth	positive
COG0377	Mean_Oxygen	negative
COG3531	log_depth	positive
COG4628	log_PO4	positive
COG4898	size_fraction0.22-3	positive
COG2378	log_depth	positive
COG4464	size_fraction0.22-3	positive
COG4382	size_fraction0.22-3	positive
COG3867	size_fraction0.22-3	positive
COG2023	log_depth	positive
COG0252	size_fraction0.22-3	positive
COG3782	Mean_Oxygen	positive
COG1350	Mean_Oxygen	negative
COG0017	log_depth	positive
COG2430	size_fraction0.22-3	positive
COG3055	log_depth	positive
COG4384	log_depth	positive
COG2128	Mean_Oxygen	negative
COG3185	log_depth	positive
COG5395	sqrt_iron	positive
COG0549	log_depth	positive
COG1607	size_fraction0.22-3	positive
COG5013	size_fraction0.22-3	positive
COG0770	log_depth	negative
