"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.marine_deep","left.marine_shallow","left.terrestrial","left.leaves_count","right.BT_node","right.marine_deep","right.marine_shallow","right.terrestrial","right.leaves_count"
"939",939,"spe",1256.385,1256.385,1256.385,356,"0.286389","0.371998","0.341613",3,"356","0.286389","0.371998","0.341613",3
"1347",1347,"spe",1788.28,1788.28,1788.28,575,"0.166006","0.792885","0.041108",5,"575","0.166006","0.792885","0.041108",5
"1653",1653,"spe",2681.09,2681.09,2681.09,365,"0.123573","0.123573","0.752854",14,"365","0.123573","0.123573","0.752854",14
"1653",1686,"hgt",2936.525,2681.09,2808.8075,364,"0.127481","0.250096","0.622423",92,"365","0.123573","0.123573","0.752854",14
"1591",1591,"spe",2393.59,2393.59,2393.59,368,"0.482126","0.228911","0.288963",11,"368","0.482126","0.228911","0.288963",11
"1293",1293,"spe",1693.345,1693.345,1693.345,377,"0.168405","0.168405","0.663189",2,"377","0.168405","0.168405","0.663189",2
"1427",1571,"los",2277.575,1930.555,2104.065,366,"0.228472","0.191263","0.580265",3,"367","0.278785","0.402808","0.318407",2
"1571",1571,"spe",2277.575,2277.575,2277.575,366,"0.228472","0.191263","0.580265",3,"366","0.228472","0.191263","0.580265",3
"1597",1597,"spe",2420.455,2420.455,2420.455,703,"0.106658","0.129625","0.763717",18,"703","0.106658","0.129625","0.763717",18
"1597",1657,"hgt",2723.605,2420.455,2572.03,702,"0.207392","0.366102","0.426505",41,"703","0.106658","0.129625","0.763717",18
"1597",1657,"hgt",2723.605,2420.455,2572.03,702,"0.207392","0.366102","0.426505",41,"703","0.106658","0.129625","0.763717",18
"1375",1375,"spe",1801.635,1801.635,1801.635,719,"0.096383","0.096383","0.807234",2,"719","0.096383","0.096383","0.807234",2
"1097",1097,"spe",1481.005,1481.005,1481.005,406,"0.136206","0.136206","0.727588",4,"406","0.136206","0.136206","0.727588",4
"1097",1246,"hgt",1652.795,1481.005,1566.9,405,"0.147735","0.704530","0.147735",5,"406","0.136206","0.136206","0.727588",4
"997",997,"spe",1350.25,1350.25,1350.25,408,"0.087702","0.157514","0.754785",2,"408","0.087702","0.157514","0.754785",2
"1368",1368,"spe",1842.35,1842.35,1842.35,156,"0.174667","0.263222","0.562111",5,"156","0.174667","0.263222","0.562111",5
"1368",1580,"hgt",2342.65,1842.35,2092.5,152,"0.515451","0.430653","0.053896",9,"156","0.174667","0.263222","0.562111",5
"1179",1179,"spe",1592.935,1592.935,1592.935,157,"0.201696","0.369028","0.429276",4,"157","0.201696","0.369028","0.429276",4
"1490",1490,"spe",2076.07,2076.07,2076.07,369,"0.623474","0.237583","0.138943",9,"369","0.623474","0.237583","0.138943",9
"1387",1387,"spe",1863.46,1863.46,1863.46,373,"0.150747","0.150747","0.698507",5,"373","0.150747","0.150747","0.698507",5
"1148",1148,"spe",1526.965,1526.965,1526.965,376,"0.367920","0.245792","0.386288",2,"376","0.367920","0.245792","0.386288",2
"1303",1490,"hgt",2076.07,1746.94,1911.505,369,"0.623474","0.237583","0.138943",9,"370","0.155339","0.519971","0.324690",4
"1303",1490,"hgt",2076.07,1746.94,1911.505,369,"0.623474","0.237583","0.138943",9,"370","0.155339","0.519971","0.324690",4
"1303",1303,"spe",1746.94,1746.94,1746.94,370,"0.155339","0.519971","0.324690",4,"370","0.155339","0.519971","0.324690",4
"1106",1303,"los",1746.94,1484.11,1615.525,370,"0.155339","0.519971","0.324690",4,"372","0.253966","0.134924","0.611110",2
"1017",1017,"spe",1396.405,1396.405,1396.405,371,"0.173954","0.384079","0.441967",2,"371","0.173954","0.384079","0.441967",2
"1377",1377,"spe",1836.685,1836.685,1836.685,232,"0.218749","0.360457","0.420794",24,"232","0.218749","0.360457","0.420794",24
"1314",1377,"los",1836.685,1750.105,1793.395,232,"0.218749","0.360457","0.420794",24,"238","0.877284","0.117587","0.005128",18
"1518",1606,"hgt",2445.14,2127.23,2286.185,76,"0.269412","0.339113","0.391475",15,"77","0.042348","0.355613","0.602039",4
"1518",1518,"spe",2127.23,2127.23,2127.23,77,"0.042348","0.355613","0.602039",4,"77","0.042348","0.355613","0.602039",4
"1518",1518,"spe",2127.23,2127.23,2127.23,77,"0.042348","0.355613","0.602039",4,"77","0.042348","0.355613","0.602039",4
"1103",1103,"spe",1481.835,1481.835,1481.835,79,"0.252150","0.716763","0.031087",2,"79","0.252150","0.716763","0.031087",2
"1103",1103,"spe",1481.835,1481.835,1481.835,79,"0.252150","0.716763","0.031087",2,"79","0.252150","0.716763","0.031087",2
"1103",1518,"hgt",2127.23,1481.835,1804.5325,77,"0.042348","0.355613","0.602039",4,"79","0.252150","0.716763","0.031087",2
"1187",1187,"spe",1579.1,1579.1,1579.1,78,"0.210410","0.595833","0.193756",2,"78","0.210410","0.595833","0.193756",2
"1187",1187,"spe",1579.1,1579.1,1579.1,78,"0.210410","0.595833","0.193756",2,"78","0.210410","0.595833","0.193756",2
"1068",1068,"spe",1434.31,1434.31,1434.31,291,"0.046426","0.069052","0.884523",3,"291","0.046426","0.069052","0.884523",3
"1068",1186,"hgt",1588.765,1434.31,1511.5375,290,"0.092921","0.092921","0.814158",4,"291","0.046426","0.069052","0.884523",3
"925",925,"spe",1225.2445,1225.2445,1225.2445,292,"0.063981","0.063981","0.872038",2,"292","0.063981","0.063981","0.872038",2
"967",967,"spe",1276.255,1276.255,1276.255,314,"0.368132","0.566213","0.065655",3,"314","0.368132","0.566213","0.065655",3
"967",1100,"hgt",1475.48,1276.255,1375.8675,312,"0.429524","0.509319","0.061157",5,"314","0.368132","0.566213","0.065655",3
"875",1249,"los",1643.645,925.9285,1284.78675,70,"0.496135","0.438747","0.065118",3,"71","0.827936","0.161215","0.010850",2
"1536",1597,"los",2420.455,2216.53,2318.4925,703,"0.106658","0.129625","0.763717",18,"704","0.247507","0.347452","0.405040",16
"933",933,"spe",1232.2775,1232.2775,1232.2775,375,"0.620386","0.239331","0.140282",2,"375","0.620386","0.239331","0.140282",2
"1079",1079,"spe",1467.515,1467.515,1467.515,374,"0.477358","0.234308","0.288334",3,"374","0.477358","0.234308","0.288334",3
