"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.host_associated","left.marine_deep","left.marine_shallow","left.terrestrial","left.ungrouped","left.leaves_count","right.BT_node","right.host_associated","right.marine_deep","right.marine_shallow","right.terrestrial","right.ungrouped","right.leaves_count"
"GCA.000002865.1.Eukaryota.Choanoflagellata",869,"hgt",694.719,0,347.3595,89,"0.2","0.2","0.2","0.2","0.2",2,"GCA.000002865.1.Eukaryota.Choanoflagellata","0","0","0","0","1",0
"GCA.000004985.1.Eukaryota.Heterolobosea",923,"dup",1219.565,0,609.7825,87,"0.2","0.2","0.2","0.2","0.2",4,"GCA.000004985.1.Eukaryota.Heterolobosea","0","0","0","0","1",0
"GCA.000004985.1.Eukaryota.Heterolobosea",923,"hgt",1219.565,0,609.7825,87,"0.2","0.2","0.2","0.2","0.2",4,"GCA.000004985.1.Eukaryota.Heterolobosea","0","0","0","0","1",0
"GCA.000004985.1.Eukaryota.Heterolobosea",923,"dup",1219.565,0,609.7825,87,"0.2","0.2","0.2","0.2","0.2",4,"GCA.000004985.1.Eukaryota.Heterolobosea","0","0","0","0","1",0
"GCA.001464965.1.Bacteria.Proteobacteria",995,"los",1332.36,0,666.18,334,"0.2","0.2","0.2","0.2","0.2",2,"GCA.001464965.1.Bacteria.Proteobacteria","0","0","0","1","0",0
"GCA.001735895.1.Bacteria.Proteobacteria",1186,"dup",1588.765,0,794.3825,290,"0.2","0.2","0.2","0.2","0.2",4,"GCA.001735895.1.Bacteria.Proteobacteria","0","0","0","1","0",0
"GCA.001735895.1.Bacteria.Proteobacteria",1186,"los",1588.765,0,794.3825,290,"0.2","0.2","0.2","0.2","0.2",4,"GCA.001735895.1.Bacteria.Proteobacteria","0","0","0","1","0",0
"GCA.001735895.1.Bacteria.Proteobacteria",1186,"hgt",1588.765,0,794.3825,290,"0.2","0.2","0.2","0.2","0.2",4,"GCA.001735895.1.Bacteria.Proteobacteria","0","0","0","1","0",0
"GCA.001898225.1.Bacteria.Chloroflexota",1175,"hgt",1574.225,0,787.1125,739,"0.2","0.2","0.2","0.2","0.2",3,"GCA.001898225.1.Bacteria.Chloroflexota","0","1","0","0","0",0
"GCA.002007425.1.Bacteria.Proteobacteria",967,"los",1276.255,0,638.1275,314,"0.2","0.2","0.2","0.2","0.2",3,"GCA.002007425.1.Bacteria.Proteobacteria","0","0","0","1","0",0
