nodename	lower	upper	average
1509	2381.0	1865.29	2123.145
875	1257.47	594.387	925.9285
1249	1910.35	1376.94	1643.645
1115	1802.63	1165.63	1484.13
1361	2062.72	1552.33	1807.5249999999999
1474	2277.08	1776.02	2026.55
1524	2408.53	1928.29	2168.41
1588	2607.35	2159.96	2383.6549999999997
1621	2733.29	2302.21	2517.75
1640	2837.91	2415.55	2626.73
1424	2361.92	1443.38	1902.65
1187	1962.45	1195.75	1579.1
1103	1840.51	1123.16	1481.835
1518	2411.78	1842.68	2127.23
927	1418.96	1011.29	1215.125
888	1117.61	1050.57	1084.09
943	1420.16	1118.79	1269.475
869	1000.39	389.048	694.719
876	1204.72	688.973	946.8465
923	1386.02	1053.11	1219.565
1020	1542.83	1235.72	1389.275
1091	1633.91	1317.64	1475.775
1231	1822.17	1468.36	1645.2649999999999
1354	2011.08	1615.63	1813.355
1606	2664.86	2225.42	2445.1400000000003
1622	2745.47	2309.76	2527.615
1645	2862.53	2444.5	2653.5150000000003
1671	2996.96	2600.84	2798.9
1690	3172.02	2778.45	2975.2349999999997
1705	3350.0	2957.31	3153.6549999999997
1711	3465.96	3082.53	3274.245
1716	3511.11	3126.03	3318.57
1650	3359.33	2039.28	2699.305
1694	3697.2	2338.03	3017.615
1663	3499.21	1784.12	2641.665
1709	3925.85	2525.88	3225.865
1407	2524.47	1278.2	1901.335
1547	2821.33	1596.99	2209.16
1444	2575.64	1367.16	1971.4
1563	2831.12	1646.24	2238.68
1112	1825.76	1140.56	1483.1599999999999
1371	2119.63	1532.46	1826.045
1198	1897.25	1255.26	1576.255
1169	1848.59	1246.73	1547.6599999999999
1023	1642.34	1131.23	1386.7849999999999
926	1461.7	996.744	1229.222
1096	1706.47	1263.31	1484.8899999999999
1199	1830.56	1393.66	1612.1100000000001
1379	2081.67	1615.45	1848.56
1432	2199.31	1725.24	1962.275
1470	2274.73	1796.69	2035.71
1543	2512.64	1970.44	2241.54
1555	2553.2	2011.87	2282.535
1604	2720.33	2155.55	2437.94
1636	2896.69	2320.51	2608.6000000000004
1242	1963.74	1296.19	1629.9650000000001
989	1587.29	1086.35	1336.82
1081	1697.59	1212.93	1455.26
1019	1646.78	1105.04	1375.9099999999999
1248	1889.67	1421.67	1655.67
937	1513.86	988.008	1250.934
1319	2000.16	1528.13	1764.145
1410	2144.58	1650.86	1897.7199999999998
1478	2306.51	1778.71	2042.6100000000001
1566	2602.35	2023.25	2312.8
1613	2754.41	2174.86	2464.635
1670	3075.96	2501.13	2788.545
1682	3178.57	2589.83	2884.2
1498	2612.58	1503.84	2058.21
1561	2792.77	1692.65	2242.71
1687	3234.83	2634.92	2934.875
1695	3353.57	2720.15	3036.86
1133	2039.56	1098.09	1568.8249999999998
1535	2749.04	1677.07	2213.055
1522	2761.11	1555.95	2158.53
1188	2112.15	1138.49	1625.3200000000002
1565	2814.32	1782.49	2298.405
1634	3089.06	2052.34	2570.7
1646	3154.64	2120.64	2637.64
1715	3672.04	2957.76	3314.9
974	1637.54	1046.59	1342.065
1272	2015.71	1377.34	1696.525
1117	1838.77	1154.3	1496.5349999999999
1380	2175.31	1517.7	1846.505
1484	2380.72	1751.04	2065.88
1214	2014.86	1176.87	1595.8649999999998
1070	1813.73	1086.92	1450.325
1457	2332.71	1645.9	1989.305
963	1579.03	1057.43	1318.23
1114	1786.55	1226.68	1506.615
1179	1871.26	1314.61	1592.935
1368	2147.78	1536.92	1842.3500000000001
1580	2645.8	2039.5	2342.65
1617	2786.12	2179.17	2482.645
996	1723.29	1049.77	1386.53
1363	2231.35	1452.19	1841.77
1655	3094.62	2313.41	2704.015
1688	3260.47	2618.09	2939.2799999999997
1489	2538.07	1553.02	2045.545
1601	2804.33	1958.64	2381.485
928	1527.79	889.506	1208.648
1154	1868.81	1243.37	1556.09
1394	2192.2	1543.35	1867.7749999999999
902	1388.09	841.174	1114.632
1150	1802.02	1292.19	1547.105
991	1618.28	1079.5	1348.8899999999999
1165	1829.43	1290.34	1559.885
1321	2012.49	1522.04	1767.2649999999999
1497	2348.13	1815.67	2081.9
1576	2614.64	2085.73	2350.185
1161	1889.75	1191.71	1540.73
1422	2230.18	1581.42	1905.8
1035	1750.54	1083.97	1417.255
1280	2030.4	1380.37	1705.385
1521	2446.72	1865.52	2156.12
1238	2024.86	1234.97	1629.915
1266	2053.94	1253.16	1653.5500000000002
1453	2328.5	1627.18	1977.8400000000001
1586	2659.31	2086.58	2372.9449999999997
1628	2821.39	2277.66	2549.5249999999996
1664	3024.57	2446.4	2735.485
1707	3504.98	2882.92	3193.95
1713	3615.9	2992.58	3304.24
1365	2270.65	1370.96	1820.805
1567	2711.63	1879.01	2295.32
1107	1879.98	1129.32	1504.65
1451	2379.5	1609.19	1994.345
941	1540.38	984.325	1262.3525
1050	1711.82	1152.69	1432.255
1343	2104.95	1494.77	1799.86
1320	2160.86	1346.58	1753.72
1530	2512.33	1872.43	2192.38
1598	2738.78	2106.78	2422.78
1644	2985.91	2310.39	2648.1499999999996
1697	3379.02	2680.47	3029.745
1066	1938.87	1069.77	1504.32
1581	2856.45	1774.54	2315.495
1672	3215.27	2211.11	2713.19
1421	2579.57	1287.96	1933.765
1505	2630.37	1492.78	2061.575
1572	2741.58	1578.02	2159.8
961	1524.67	1069.46	1297.065
1166	1789.07	1322.19	1555.63
1098	1707.07	1208.15	1457.6100000000001
1182	1806.53	1343.94	1575.2350000000001
1201	1842.56	1325.93	1584.245
1334	1978.94	1569.73	1774.335
1402	2079.1	1679.39	1879.245
1439	2154.88	1755.62	1955.25
1502	2284.48	1888.01	2086.245
1000	1639.23	1068.64	1353.935
1168	1809.13	1264.69	1536.91
1344	1998.82	1503.28	1751.05
1088	1693.15	1151.38	1422.265
909	1395.86	878.586	1137.223
999	1557.66	1120.68	1339.17
1089	1664.75	1243.03	1453.8899999999999
1255	1842.47	1444.16	1643.315
881	1217.04	680.077	948.5585
904	1336.59	851.892	1094.241
954	1447.93	1005.51	1226.72
1113	1673.09	1280.05	1476.57
1237	1810.7	1438.03	1624.365
914	1403.11	831.293	1117.2015
1040	1606.24	1182.07	1394.155
917	1405.48	957.517	1181.4985000000001
1012	1556.34	1162.05	1359.195
1155	1718.34	1368.2	1543.27
915	1385.29	967.088	1176.1889999999999
