"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"1675"	1701	"los"	3169.355	3078.905	3124.13	337	"not_sure"	119	"5"	"not_sure"	9
"1635"	1635	"spe"	2950.105	2950.105	2950.105	7	"not_sure"	7	"7"	"not_sure"	7
"1442"	1588	"hgt"	2842.87	2585.52	2714.195	59	"not_sure"	15	"12"	"not_sure"	2
"1442"	1442	"spe"	2585.52	2585.52	2585.52	12	"not_sure"	2	"12"	"not_sure"	2
"1723"	1723	"spe"	3346.625	3346.625	3346.625	97	"marine_shallow"	430	"97"	"marine_shallow"	430
"1721"	1725	"los"	3407.45	3335.31	3371.38	96	"marine_shallow"	453	"142"	"terrestrial"	385
"1720"	1720	"spe"	3324.645	3324.645	3324.645	186	"not_sure"	341	"186"	"not_sure"	341
"1704"	1704	"spe"	3193.355	3193.355	3193.355	455	"not_sure"	72	"455"	"not_sure"	72
"1683"	1683	"spe"	3106.26	3106.26	3106.26	465	"terrestrial"	62	"465"	"terrestrial"	62
"1083"	1083	"spe"	2115.87	2115.87	2115.87	525	"not_sure"	2	"525"	"not_sure"	2
"1361"	1361	"spe"	2475.305	2475.305	2475.305	69	"marine_deep"	5	"69"	"marine_deep"	5
"1715"	1715	"spe"	3284.295	3284.295	3284.295	98	"marine_shallow"	45	"98"	"marine_shallow"	45
"1646"	1646	"spe"	2996.785	2996.785	2996.785	135	"not_sure"	8	"135"	"not_sure"	8
"1646"	1646	"spe"	2996.785	2996.785	2996.785	135	"not_sure"	8	"135"	"not_sure"	8
"1646"	1667	"hgt"	3056.385	2996.785	3026.585	19	"marine_deep"	32	"135"	"not_sure"	8
"1634"	1634	"spe"	2944.425	2944.425	2944.425	138	"marine_deep.terrestrial"	5	"138"	"marine_deep.terrestrial"	5
"1714"	1714	"spe"	3267.455	3267.455	3267.455	549	"marine_deep.terrestrial"	150	"549"	"marine_deep.terrestrial"	150
"1674"	1674	"spe"	3075.81	3075.81	3075.81	597	"not_sure"	102	"597"	"not_sure"	102
"1639"	1639	"spe"	2947.155	2947.155	2947.155	613	"marine_shallow"	86	"613"	"marine_shallow"	86
"1550"	1550	"spe"	2769.905	2769.905	2769.905	671	"terrestrial"	28	"671"	"terrestrial"	28
"1483"	1562	"los"	2789.015	2640.515	2714.765	479	"terrestrial"	22	"673"	"not_sure"	26
"1483"	1483	"spe"	2640.515	2640.515	2640.515	673	"not_sure"	26	"673"	"not_sure"	26
"1388"	1388	"spe"	2515.41	2515.41	2515.41	680	"not_sure"	19	"680"	"not_sure"	19
"1110"	1110	"spe"	2165.975	2165.975	2165.975	689	"marine_shallow"	10	"689"	"marine_shallow"	10
"1024"	1024	"spe"	2020.225	2020.225	2020.225	691	"marine_shallow"	8	"691"	"marine_shallow"	8
"962"	962	"spe"	1872.275	1872.275	1872.275	692	"not_sure"	7	"692"	"not_sure"	7
"1665"	1665	"spe"	3046.235	3046.235	3046.235	568	"marine_deep.terrestrial"	30	"568"	"marine_deep.terrestrial"	30
"1648"	1648	"spe"	2997.52	2997.52	2997.52	569	"not_sure"	29	"569"	"not_sure"	29
"1545"	1545	"spe"	2762.32	2762.32	2762.32	590	"marine_shallow"	8	"590"	"marine_shallow"	8
"1194"	1194	"spe"	2278.045	2278.045	2278.045	596	"not_sure"	2	"596"	"not_sure"	2
"1589"	1589	"spe"	2845.53	2845.53	2845.53	505	"terrestrial"	7	"505"	"terrestrial"	7
"1431"	1431	"spe"	2569.225	2569.225	2569.225	507	"terrestrial"	5	"507"	"terrestrial"	5
"1722"	1722	"spe"	3339.09	3339.09	3339.09	699	"marine_shallow"	125	"699"	"marine_shallow"	125
"1719"	1719	"spe"	3317.54	3317.54	3317.54	187	"not_sure"	269	"187"	"not_sure"	269
"1712"	1712	"spe"	3248.065	3248.065	3248.065	200	"marine_deep"	256	"200"	"marine_deep"	256
"1701"	1701	"spe"	3169.355	3169.355	3169.355	337	"not_sure"	119	"337"	"not_sure"	119
"1686"	1715	"los"	3284.295	3109.515	3196.905	98	"marine_shallow"	45	"364"	"not_sure"	92
"1587"	1587	"spe"	2838.44	2838.44	2838.44	452	"not_sure"	4	"452"	"not_sure"	4
"1708"	1708	"spe"	3221.86	3221.86	3221.86	201	"marine_deep"	137	"201"	"marine_deep"	137
"1708"	1722	"hgt"	3339.09	3221.86	3280.475	699	"marine_shallow"	125	"201"	"marine_deep"	137
"1595"	1595	"spe"	2856.305	2856.305	2856.305	335	"not_sure"	3	"335"	"not_sure"	3
"1512"	1512	"spe"	2698.49	2698.49	2698.49	436	"not_sure"	17	"436"	"not_sure"	17
"1512"	1575	"hgt"	2809.515	2698.49	2754.0025	379	"marine_deep"	7	"436"	"not_sure"	17
"1324"	1324	"spe"	2426.325	2426.325	2426.325	447	"not_sure"	6	"447"	"not_sure"	6
"966"	966	"spe"	1876.055	1876.055	1876.055	451	"not_sure"	2	"451"	"not_sure"	2
"1554"	1587	"hgt"	2838.44	2778.02	2808.23	452	"not_sure"	4	"643"	"marine_shallow"	27
