"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node59.P.C.",0.0243857155555556,0.000513,0,0.186196,650.194351264177,101,"passed",0.0570198835377805,"passed",0.154169532252242,"failed",0.00487854782564732
"Node60.P.A.",0.619386369,0.5874415,0.318704,1,403.661213577997,1,"passed",0.0578117641138483,"passed",0.154169532252242,"passed",0.018559093567185
"Node60.P.B.",0.268589446,0.2512125,0,0.479553,333.417785195854,1,"passed",0.0568300172680083,"passed",0.154169532252242,"passed",0.0156689649778694
"Node60.P.C.",0.112024173,0.1126255,0,0.342182,920.482073011063,1,"passed",0.52470481313027,"passed",0.562570108923176,"passed",0.00757510551345204
"Node61.P.A.",0.68820295,0.7548955,0.415879,1,308.595348318959,101,"passed",0.0500675958336912,"passed",0.154169532252242,"passed",0.0221500807382636
"Node61.P.B.",0.276334578888889,0.217169,0,0.53651,293.934983206187,101,"passed",0.058384672170847,"passed",0.154169532252242,"passed",0.0218530683088754
"Node61.P.C.",0.036287799,0.018404,0,0.183267,696.386204430794,1,"passed",0.126032211606208,"passed",0.172376380126982,"failed",0.00441877120333094
"Node62.P.A.",6.6598e-05,3.8e-05,2e-06,0.000191,431.783057608229,1,"passed",0.539615040192858,"passed",0.57460714177533,"failed",1.3930830888028e-05
"Node62.P.B.",0.084495412,0.0787805,0.002573,0.190618,369.951916297297,1,"passed",0.0991388872313841,"passed",0.154169532252242,"passed",0.0059050301045831
"Node62.P.C.",0.915437975,0.921194,0.809315,0.997426,370.444141612337,1,"passed",0.0993717005536006,"passed",0.154169532252242,"passed",0.0059048303646457
"Node63.P.A.",NA,0.9894445,0.686074,1,265.909515706322,NA,"failed",0.0423761717429511,"passed",0.154169532252242,NA,NA
"Node63.P.B.",0.0824161883333333,0.0104435,0,0.281259,272.797592218963,401,"passed",0.0531438944094278,"passed",0.154169532252242,"failed",0.0159091241834033
"Node63.P.C.",0.003315469,2.9e-05,0,0.021885,380.77348770282,1,"passed",0.0959493372939159,"passed",0.154169532252242,"failed",0.00120243308045337
"Node64.P.A.",0.909243856666667,0.985483,0.677036,1,268.26126389535,401,"passed",0.0534168488427392,"passed",0.154169532252242,"passed",0.0165106545026627
"Node64.P.B.",0.0871804433333333,0.0140325,0,0.283911,272.944662754819,401,"passed",0.0654635326560855,"passed",0.154169532252242,"failed",0.0162678068399659
"Node64.P.C.",0.003925005,7.9e-05,0,0.027355,799.80745256528,1,"passed",0.089734363561033,"passed",0.154169532252242,"failed",0.000873938369269621
"Node65.P.A.",0.88171668,0.98149,0.528251,1,339.438127749771,401,"passed",0.0729681570415187,"passed",0.154169532252242,"passed",0.0197571213789214
"Node65.P.B.",0.100254686666667,0.0174645,0,0.327005,289.045908107127,401,"passed",0.0996087580037958,"passed",0.154169532252242,"failed",0.0176182330352062
"Node65.P.C.",0.0185151171428571,0.000146,0,0.156777,664.577270846084,301,"passed",0.0979159176811585,"passed",0.154169532252242,"failed",0.00486056634618174
"Node66.P.A.",0.879300925,0.986883,0.459259,1,378.523938778385,401,"passed",0.0942716675240423,"passed",0.154169532252242,"passed",0.0208427786289017
"Node66.P.B.",0.09556524,0.012488,0,0.339739,284.344525228727,401,"passed",0.102698647055033,"passed",0.154792163677152,"failed",0.0170117767019614
"Node66.P.C.",0.0277621855555556,3.2e-05,0,0.208579,630.172874638999,101,"passed",0.0698987385781916,"passed",0.154169532252242,"failed",0.0056413371351048
"Node67.P.A.",0.85120165,0.9486255,0.474855,1,349.024324823436,301,"passed",0.0706714205427543,"passed",0.154169532252242,"passed",0.0205388801550949
"Node67.P.B.",0.126523484285714,0.0469435,0,0.373269,308.231440080834,301,"passed",0.0743044131890381,"passed",0.154169532252242,"failed",0.0178764464806323
"Node67.P.C.",0.0239367677777778,0.0006095,0,0.176462,645.437927385157,101,"passed",0.0754908456128673,"passed",0.154169532252242,"failed",0.0046434007932191
"Node68.P.A.",0.838712538571429,0.9344165,0.474893,1,371.566251814897,301,"passed",0.093161818550937,"passed",0.154169532252242,"passed",0.0209988782347151
"Node68.P.B.",0.148582017777778,0.060677,0,0.415959,316.560027333385,101,"passed",0.0562441627562295,"passed",0.154169532252242,"failed",0.0172296985785202
"Node68.P.C.",0.0185954466666667,0.001245,0,0.133943,666.022394139644,101,"passed",0.0779282246713833,"passed",0.154169532252242,"failed",0.00352523218291775
