"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node835.P.C.",0.274710402,0.2763105,0.216475,0.327622,612.055055278268,1,"passed",0.52545465055638,"passed",0.887546797574397,"passed",0.00231800699382062
"Node836.P.A.",0.026863914,0.02145,0.012129,0.046282,153.908236002575,1,"passed",0.187563546704273,"passed",0.453961691487008,"passed",0.00176890199227131
"Node836.P.B.",0.2293599,0.2291255,0.206143,0.256134,1000,1,"passed",0.835562451530648,"passed",0.913383217386291,"passed",0.000792055647244437
"Node836.P.C.",0.743776201,0.744555,0.706083,0.780023,351.539861872022,1,"passed",0.232907383187352,"passed",0.494728701893327,"passed",0.0020188254993693
"Node837.P.A.",0.001005629,0.000613,0.000206,0.002505,151.871177025126,1,"passed",0.178797185168895,"passed",0.453961691487008,"failed",0.000119841227902791
"Node837.P.B.",0.070236433,0.0694475,0.048795,0.093301,805.48331465235,1,"passed",0.685949932382352,"passed",0.912981687754976,"passed",0.000795507867787997
"Node837.P.C.",0.928757921,0.9293825,0.905697,0.950014,853.839060934429,1,"passed",0.833371821571381,"passed",0.913383217386291,"passed",0.000773488376394396
"Node838.P.A.",0.000358469,0.0001975,4.9e-05,0.000964,160.525334186342,1,"passed",0.183464792366644,"passed",0.453961691487008,"failed",4.67799589311669e-05
"Node838.P.B.",0.048314246,0.0475505,0.031481,0.067418,803.940489855738,1,"passed",0.696963254332178,"passed",0.912981687754976,"passed",0.000645991030311436
"Node838.P.C.",0.951327271,0.9520155,0.932407,0.968399,828.110185143924,1,"passed",0.769183311064706,"passed",0.912981687754976,"passed",0.000636853567805654
"Node839.P.A.",0.000463604,0.000279,9.6e-05,0.001157,149.627071956508,1,"passed",0.184069602640027,"passed",0.453961691487008,"failed",5.59262127447899e-05
"Node839.P.B.",0.049431179,0.0489905,0.035628,0.066329,818.397112172549,1,"passed",0.692147738022369,"passed",0.912981687754976,"passed",0.000541534619300128
"Node839.P.C.",0.950105223,0.950567,0.935111,0.965965,851.051421182268,1,"passed",0.79491526165921,"passed",0.912981687754976,"passed",0.000531292079828549
"Node840.P.A.",3.2612e-05,1.9e-05,5e-06,8.9e-05,146.323714279735,1,"passed",0.192722008633539,"passed",0.453961691487008,"failed",4.55860669972631e-06
"Node840.P.B.",0.01605862,0.0156415,0.009213,0.023721,829.710376474682,1,"passed",0.723987569638755,"passed",0.912981687754976,"passed",0.000260929679186752
"Node840.P.C.",0.98390881,0.984324,0.976199,0.990767,834.901189387746,1,"passed",0.739128326416885,"passed",0.912981687754976,"passed",0.000260334653739719
"Node841.P.A.",8.0294e-05,4.45e-05,1.2e-05,0.000218,147.179445888269,1,"passed",0.202998612885569,"passed",0.458159610238523,"failed",1.13821996461178e-05
