"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node629.P.C.",0.963287228,0.9652405,0.934924,0.988566,909.08004084627,1,"passed",0.780960524296327,"passed",0.963690381977747,"passed",0.00095411001116558
"Node630.P.A.",0.007999095,0.007456,0.001777,0.014991,910.645633315911,1,"passed",0.762987079004989,"passed",0.963690381977747,"passed",0.000238653601344213
"Node630.P.B.",0.134089003,0.133991,0.0837,0.182775,925.599592665319,1,"passed",0.949971744034636,"passed",0.963690381977747,"passed",0.00168450664930392
"Node630.P.C.",0.857911927,0.858557,0.801168,0.913809,924.131610586515,1,"passed",0.946783744639361,"passed",0.963690381977747,"passed",0.00191840361497192
"Node631.P.A.",0.001702517,0.001408,0.00016,0.004117,890.829799796268,1,"passed",0.815149276504462,"passed",0.963690381977747,"passed",7.87832036848928e-05
"Node631.P.B.",0.073436511,0.0717325,0.032683,0.119178,918.293599471338,1,"passed",0.764713246738929,"passed",0.963690381977747,"passed",0.00150014839647395
"Node631.P.C.",0.92486096,0.9268625,0.876346,0.967057,917.044180669633,1,"passed",0.76690055306904,"passed",0.963690381977747,"passed",0.00157627350455077
"Node632.P.A.",0.019554484,0.0186015,0.005,0.034476,916.028165897116,1,"passed",0.749456493740416,"passed",0.963690381977747,"passed",0.000519432708719635
"Node632.P.B.",0.190942082,0.191954,0.129044,0.24492,928.276485743293,1,"passed",0.953668034417149,"passed",0.963690381977747,"passed",0.00196102955813061
"Node632.P.C.",0.789503431,0.789439,0.718549,0.864113,926.438607376861,1,"passed",0.948220878461143,"passed",0.963690381977747,"passed",0.00247015490517105
"Node633.P.A.",0.005267142,0.004874,0.001116,0.010079,908.770022436576,1,"passed",0.767711503509317,"passed",0.963690381977747,"passed",0.000163152031772028
"Node633.P.B.",0.112287615,0.1119085,0.06819,0.156433,924.419645854816,1,"passed",0.948666913507453,"passed",0.963690381977747,"passed",0.0015033448618657
"Node633.P.C.",0.882445248,0.8832235,0.832741,0.930261,923.176490147152,1,"passed",0.94615427302584,"passed",0.963690381977747,"passed",0.00166325686654211
"Node634.P.A.",0.010913759,0.010077,0.002359,0.022131,896.226285241641,1,"passed",0.630099876872847,"passed",0.963690381977747,"passed",0.000352872234720591
"Node634.P.B.",0.281666049,0.28414,0.173061,0.383214,907.668395379553,1,"passed",0.484130140844277,"passed",0.963690381977747,"passed",0.00360148822905879
"Node634.P.C.",0.707420214,0.7056525,0.591014,0.821552,906.516834486399,1,"passed",0.493147506978387,"passed",0.963690381977747,"passed",0.00393300489093173
"Node635.P.A.",0.015433229,0.014663,0.004647,0.028377,904.554918056145,1,"passed",0.612443860349061,"passed",0.963690381977747,"passed",0.000413505545955242
"Node635.P.B.",0.474176529,0.4786045,0.377571,0.563803,1000,1,"passed",0.368153901789094,"passed",0.963690381977747,"passed",0.00310653078395837
"Node635.P.C.",0.510390237,0.5064065,0.40266,0.609897,999.999999999999,1,"passed",0.381765624502058,"passed",0.963690381977747,"passed",0.00344194562995954
"Node636.P.A.",0.038435657,0.0376775,0.017168,0.060643,917.865936534291,1,"passed",0.6250863445934,"passed",0.963690381977747,"passed",0.000740375682582361
"Node636.P.B.",0.732452847,0.7333285,0.694884,0.776751,1000,1,"passed",0.277235013160371,"passed",0.963690381977747,"passed",0.00134551861915401
"Node636.P.C.",0.22911147,0.22779,0.181917,0.27956,1000,1,"passed",0.25223520512648,"passed",0.963690381977747,"passed",0.00166206694322732
"Node637.P.A.",1.672e-06,1e-06,0,4e-06,879.819889285289,1,"passed",0.721909064292376,"passed",0.963690381977747,"passed",6.74341597908326e-08
"Node637.P.B.",0.002418519,0.0023565,0.001206,0.003838,915.52439391784,1,"passed",0.778046728984954,"passed",0.963690381977747,"passed",4.56511441595985e-05
"Node637.P.C.",0.997579816,0.9976415,0.996158,0.998793,915.511226629322,1,"passed",0.778007164548163,"passed",0.963690381977747,"passed",4.57152773983843e-05
"Node638.P.A.",7.7345e-05,5.7e-05,5e-06,0.000216,880.187578398506,1,"passed",0.856081119285016,"passed",0.963690381977747,"passed",4.58544752823198e-06
"Node638.P.B.",0.01608294,0.014932,0.004653,0.029337,902.402242155452,1,"passed",0.797114959980314,"passed",0.963690381977747,"passed",0.000449461229053171
"Node638.P.C.",0.983839735,0.9850115,0.970446,0.995342,902.139593682688,1,"passed",0.797842189921479,"passed",0.963690381977747,"passed",0.000453900797460617
"Node639.P.A.",0.002008871,0.0016535,0.000191,0.004886,889.702048476435,1,"passed",0.817619525976336,"passed",0.963690381977747,"passed",9.38400119611398e-05
"Node639.P.B.",0.077503941,0.0755705,0.03437,0.126541,917.661034457931,1,"passed",0.765151860430275,"passed",0.963690381977747,"passed",0.00160055507312969
