"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node440.P.B.",0.227820521,0.228913,0.189221,0.261314,1000,1,"passed",0.331784868435166,"passed",0.434640096590891,"passed",0.00116774645695439
"Node440.P.C.",0.705966304,0.7052375,0.638927,0.775899,1000,1,"passed",0.196866471051199,"passed",0.349248945461001,"passed",0.00223554096610944
"Node441.P.A.",0.369656474,0.367457,0.324315,0.423528,999.999999999999,1,"passed",0.144356196726352,"passed",0.349248945461001,"passed",0.00157777422704202
"Node441.P.B.",0.462726851,0.4626515,0.420625,0.496543,1000,1,"passed",0.778743761556374,"passed",0.818494023167141,"passed",0.00118701570513852
"Node441.P.C.",0.167616675,0.170115,0.113924,0.219459,1000,1,"passed",0.414541915139914,"passed",0.501033851543173,"passed",0.00168893413989575
"Node442.P.A.",0.729324076,0.722106,0.685,0.806968,999.999999999999,1,"passed",0.640386294444591,"passed",0.701390211275144,"passed",0.00217795470429789
"Node442.P.B.",0.265781992,0.273419,0.189324,0.300901,1000,1,"passed",0.627832214436191,"passed",0.689975723288682,"passed",0.00209142695091488
"Node442.P.C.",0.00489391,0.004644,0.000564,0.009229,1000,1,"passed",0.623583155732603,"passed",0.686972688586744,"passed",0.000138673572172314
"Node443.P.A.",0.308272653,0.306721,0.258886,0.354565,999.999999999999,1,"passed",0.10600839929976,"passed",0.349248945461001,"passed",0.00159312093808564
"Node443.P.B.",0.465899468,0.4653385,0.423901,0.509826,1000,1,"passed",0.864260641010528,"passed",0.880193503547143,"passed",0.00135058897961283
"Node443.P.C.",0.225827872,0.2295345,0.161199,0.28787,999.999999999999,1,"passed",0.402906915975619,"passed",0.490900572719084,"passed",0.00204343629375139
"Node444.P.A.",0.838263918,0.8333415,0.77677,0.904744,1000,1,"passed",0.303144103430582,"passed",0.410919000463834,"passed",0.00199275195070988
"Node444.P.B.",0.161050399,0.166062,0.095155,0.221301,1000,1,"passed",0.296710533729924,"passed",0.407036224640888,"passed",0.00197402785918938
"Node444.P.C.",0.000685699,0.0005645,8e-06,0.001598,999.999999999999,1,"passed",0.804624788346567,"passed",0.836381434421741,"passed",2.99380484188119e-05
"Node445.P.A.",0.757353154,0.7518145,0.704007,0.82648,1000,1,"passed",0.379566308039543,"passed",0.472112953162858,"passed",0.00202772449596665
"Node445.P.B.",0.237242728,0.243272,0.175255,0.286116,1000,1,"passed",0.345596194363861,"passed",0.444956218763626,"passed",0.00191872617355298
"Node445.P.C.",0.005404111,0.004994,0.00066,0.010378,1000,1,"passed",0.857745411237537,"passed",0.87682658409645,"passed",0.000165164093017863
"Node446.P.A.",0.736915532,0.73151,0.684583,0.805106,1000,1,"passed",0.440152619117754,"passed",0.525538050765268,"passed",0.00198976693393144
"Node446.P.B.",0.254687553,0.260441,0.195249,0.299533,999.999999999999,1,"passed",0.387816065454641,"passed",0.47750924634574,"passed",0.00182265118285829
"Node446.P.C.",0.008396911,0.0077975,0.001328,0.016074,1000,1,"passed",0.862437013242366,"passed",0.879522663212049,"passed",0.000248909496075757
"Node447.P.A.",0.342694127,0.342962,0.278373,0.405318,1000,1,"passed",0.110985217040838,"passed",0.349248945461001,"passed",0.00203092537450099
"Node447.P.B.",0.473746947,0.4732055,0.42614,0.517086,1000,1,"passed",0.663956220617172,"passed",0.721441421086264,"passed",0.00143936420073018
"Node447.P.C.",0.183558909,0.185558,0.12033,0.239297,999.999999999998,1,"passed",0.24665261112793,"passed",0.375982815817731,"passed",0.00185874635889252
"Node448.P.A.",0.092920555,0.092138,0.053014,0.136185,999.999999999999,1,"passed",0.128008771268233,"passed",0.349248945461001,"passed",0.00136681156963597
"Node448.P.B.",0.250468051,0.251394,0.212236,0.279091,1000,1,"passed",0.380377485136015,"passed",0.47254165320881,"passed",0.00106217555377326
"Node448.P.C.",0.656611383,0.655254,0.586575,0.732035,1000,1,"passed",0.202355992403515,"passed",0.349439830610235,"passed",0.002368432283546
"Node449.P.A.",0.041384377,0.0399115,0.017313,0.069265,1000,1,"passed",0.112515436504058,"passed",0.349248945461001,"passed",0.000876076337386083
"Node449.P.B.",0.196580382,0.1976265,0.152461,0.235403,1000,1,"passed",0.284237491706987,"passed",0.400948261603865,"passed",0.00136415405440801
"Node449.P.C.",0.762035236,0.761952,0.694719,0.829132,1000,1,"passed",0.195398475397842,"passed",0.349248945461001,"passed",0.00220650037672274
"Node450.P.A.",0.011652756,0.010629,0.002348,0.022274,1000,1,"passed",0.107475894251772,"passed",0.349248945461001,"passed",0.000352048943298082
"Node450.P.B.",0.123196609,0.123125,0.082289,0.164318,1000,1,"passed",0.221695056942603,"passed",0.358670931410711,"passed",0.0013497624216333
"Node450.P.C.",0.865150624,0.865868,0.815458,0.916932,1000,1,"passed",0.188394686015568,"passed",0.349248945461001,"passed",0.00168622252566456
"Node451.P.A.",0.012530329,0.0113585,0.002182,0.024498,999.999999999999,1,"passed",0.106417723670915,"passed",0.349248945461001,"passed",0.000397444432511862
"Node451.P.B.",0.12402048,0.123854,0.077358,0.162367,1000,1,"passed",0.229535698266574,"passed",0.365610658631357,"passed",0.00139993139059578
"Node451.P.C.",0.863449168,0.864262,0.811495,0.918409,1000,1,"passed",0.190670268557614,"passed",0.349248945461001,"passed",0.00177760762152236
"Node452.P.A.",0.048285851,0.0470845,0.022459,0.07652,1000,1,"passed",0.110550216777441,"passed",0.349248945461001,"passed",0.000906132571164721
"Node452.P.B.",0.206708832,0.2078005,0.166741,0.241224,1000,1,"passed",0.301632364375649,"passed",0.409836415903326,"passed",0.00122107682424988
"Node452.P.C.",0.745005298,0.7446535,0.681961,0.809569,1000,1,"passed",0.194040434301732,"passed",0.349248945461001,"passed",0.00208907149467511
"Node453.P.A.",0.035535526,0.034353,0.015579,0.058557,1000,1,"passed",0.105810260094338,"passed",0.349248945461001,"passed",0.000724433091022668
"Node453.P.B.",0.187455467,0.1883555,0.147193,0.222888,1000,1,"passed",0.277411309800813,"passed",0.397429865084656,"passed",0.0012429582056992
"Node453.P.C.",0.777009001,0.7768365,0.720537,0.838036,1000,1,"passed",0.192235877003528,"passed",0.349248945461001,"passed",0.00193757042305598
"Node454.P.A.",0.025562635,0.024051,0.006365,0.049223,999.999999999999,1,"passed",0.0508053516520519,"passed",0.349248945461001,"passed",0.000737026122618091
"Node454.P.B.",0.173179626,0.1728055,0.112754,0.233451,999.999999999999,1,"passed",0.157938249234331,"passed",0.349248945461001,"passed",0.00198697247853275
"Node454.P.C.",0.801257754,0.802876,0.715953,0.876828,1000,1,"passed",0.11043649506412,"passed",0.349248945461001,"passed",0.00266616801157652
"Node455.P.A.",0.0276928744444444,0.025773,0.005951,0.053261,1000,101,"passed",0.0702409586476165,"passed",0.349248945461001,"passed",0.000862109261479688
"Node455.P.B.",0.204102573,0.202744,0.121937,0.279603,1000,1,"passed",0.143616743762999,"passed",0.349248945461001,"passed",0.00256737110532792
"Node455.P.C.",0.768368094,0.771476,0.67689,0.873501,999.999999999999,1,"passed",0.0989839625480098,"passed",0.349248945461001,"passed",0.00328648541983468
"Node456.P.A.",0.0216281088888889,0.019563,0.002414,0.043918,1000,101,"passed",0.0700231087770057,"passed",0.349248945461001,"passed",0.000771430208193284
"Node456.P.B.",0.243332892,0.240477,0.146359,0.343769,1000,1,"passed",0.143238924636094,"passed",0.349248945461001,"passed",0.00322383902635053
"Node456.P.C.",0.73519253,0.739113,0.613693,0.844963,999.999999999999,1,"passed",0.101888119539099,"passed",0.349248945461001,"passed",0.00381727006548516
