"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node806.P.A.",0.042592561,0.040661,0.000855,0.096244,688.362545604488,1,"passed",0.592170045221611,"passed",0.741895916840458,"passed",0.00218559379607326
"Node806.P.B.",0.379734961,0.378243,0.291757,0.470076,1285.00193897507,1,"passed",0.116327402131588,"passed",0.72445110954245,"passed",0.00251954471533529
"Node806.P.C.",0.577672487,0.582196,0.439778,0.68503,1127.9238454954,1,"passed",0.378614123943747,"passed",0.72445110954245,"passed",0.00362565808059299
"Node807.P.A.",0.216483689,0.23923,0.005539,0.351736,504.454559871214,1,"passed",0.762151228562883,"passed",0.82825994954391,"passed",0.00887489959758322
"Node807.P.B.",NA,0.554845,0.451264,0.702446,1000,NA,"failed",0.0124923755464316,"passed",0.72445110954245,NA,NA
"Node807.P.C.",0.221816209,0.204507,0.109514,0.421469,451.738076788703,1,"passed",0.477270080440722,"passed",0.72445110954245,"passed",0.00727716206016107
"Node808.P.A.",0.227216495,0.2460335,0.075,0.318114,505.358809907333,1,"passed",0.782932431285161,"passed",0.839424768078449,"passed",0.00589107425800162
"Node808.P.B.",0.477318334,0.469983,0.415486,0.563635,733.02961843459,1,"passed",0.0593150585595176,"passed",0.72445110954245,"passed",0.00284544139936124
"Node808.P.C.",0.295465154,0.285386,0.229443,0.404644,448.148240879516,1,"passed",0.568014456275028,"passed",0.731903530769833,"passed",0.00394141348552762
"Node809.P.A.",0.228988811,0.252439,0.040685,0.336155,514.400799634718,1,"passed",0.793017469167633,"passed",0.844766979173485,"passed",0.00716906593835953
"Node809.P.B.",NA,0.5219845,0.451991,0.632255,908.090681029061,NA,"failed",0.00883325946160662,"passed",0.72445110954245,NA,NA
"Node809.P.C.",0.243877896,0.2271655,0.150438,0.42345,462.15273893044,1,"passed",0.560113630377701,"passed",0.728713810452624,"passed",0.00606896727160026
"Node810.P.A.",0.50263654,0.53919,0.279824,0.601629,458.480139718651,1,"passed",0.884113350547837,"passed",0.886554154276343,"passed",0.00856188612141141
"Node810.P.B.",0.428418668,0.4090075,0.350493,0.575065,665.784348047765,1,"passed",0.350211888239966,"passed",0.72445110954245,"passed",0.00489464121626044
"Node810.P.C.",0.068944783,0.052286,0.029587,0.213143,408.833698633592,1,"passed",0.516506500440358,"passed",0.72445110954245,"passed",0.00503397804515924
"Node811.P.A.",0.042783366,0.0430285,0.009955,0.073693,684.746484084168,1,"passed",0.227114762208475,"passed",0.72445110954245,"passed",0.00131482088938259
"Node811.P.B.",0.221056161,0.2117935,0.14926,0.347809,503.371968201263,1,"passed",0.537892129139166,"passed",0.72548848003932,"passed",0.00403220033140283
"Node811.P.C.",0.736160464,0.7408075,0.639068,0.836091,620.284078767272,1,"passed",0.278311469849667,"passed",0.72445110954245,"passed",0.00382153435169422
"Node812.P.A.",0.016187716,0.0154025,0.001903,0.031862,863.220435140805,1,"passed",0.176124837928158,"passed",0.72445110954245,"passed",0.000577144010122477
"Node812.P.B.",0.161877829,0.1515035,0.089044,0.300938,498.76296423413,1,"passed",0.492778847000535,"passed",0.72445110954245,"passed",0.00459672533897326
"Node812.P.C.",0.821934462,0.830524,0.697175,0.909196,544.785797424689,1,"passed",0.369011716569425,"passed",0.72445110954245,"passed",0.00452441357373716
"Node813.P.A.",0.025394006,0.0251735,0.005079,0.046293,702.610995152589,1,"passed",0.208894172738742,"passed",0.72445110954245,"passed",0.000850991271118175
"Node813.P.B.",0.188571522,0.179838,0.118725,0.310511,503.633794793318,1,"passed",0.504533405978883,"passed",0.72445110954245,"passed",0.00407936657506596
"Node813.P.C.",0.786034475,0.792505,0.68397,0.874557,577.500037981091,1,"passed",0.328189508342887,"passed",0.72445110954245,"passed",0.00394716071340905
"Node814.P.A.",0.290756464,0.32511,0.029845,0.441083,467.686008015045,1,"passed",0.793083468670366,"passed",0.844766979173485,"passed",0.010771625549534
"Node814.P.B.",0.548268946,0.532285,0.436004,0.724453,812.286794423196,1,"passed",0.085597533284577,"passed",0.72445110954245,"passed",0.00537670067717735
"Node814.P.C.",0.160974596,0.142035,0.07963,0.337355,415.740784116736,1,"passed",0.551849589479238,"passed",0.726911980666761,"passed",0.0067535102441622
"Node815.P.A.",0.29630908,0.3239125,0.07169,0.427116,510.208453446481,1,"passed",0.759569691251502,"passed",0.827400397089422,"passed",0.00873020748256539
"Node815.P.B.",0.565667262,0.550726,0.448077,0.727831,796.595117124518,1,"passed",0.092948889917104,"passed",0.72445110954245,"passed",0.00510833636238285
"Node815.P.C.",0.138023654,0.1240115,0.081675,0.267803,402.867547467507,1,"passed",0.527165465283833,"passed",0.725132359455778,"passed",0.00520924127347128
"Node816.P.A.",0.366026847,0.3952495,0.131686,0.51597,512.127428278195,1,"passed",0.724266017652373,"passed",0.807687509798676,"passed",0.00928998766537925
