"BT_node","origin"
"543","C"
"544","C"
"545","C"
"546","C"
"547","not_sure"
"548","C.D"
"549","not_sure"
"550","C"
"551","C"
"552","C"
"553","C"
"554","C"
"555","C"
"556","not_sure"
"557","C"
"558","not_sure"
"559","C"
"560","C"
"561","not_sure"
"562","C.D"
"563","not_sure"
"564","C.D"
"565","not_sure"
"566","C.D"
"567","not_sure"
"568","not_sure"
"569","not_sure"
"570","B.C"
"571","not_sure"
"572","B.D"
"573","not_sure"
"574","not_sure"
"575","B"
"576","B"
"577","B"
"578","not_sure"
"579","B"
"580","B.D"
"581","not_sure"
"582","B.D"
"583","not_sure"
"584","not_sure"
"585","not_sure"
"586","not_sure"
"587","not_sure"
"588","not_sure"
"589","not_sure"
"590","B.D"
"591","not_sure"
"592","C"
"593","C"
"594","C"
"595","C"
"596","not_sure"
"597","not_sure"
"598","not_sure"
"599","not_sure"
"600","not_sure"
"601","not_sure"
"602","C"
"603","C"
"604","C"
"605","not_sure"
"606","C"
"607","C"
"608","not_sure"
"609","C"
"610","C.D"
"611","not_sure"
"612","not_sure"
"613","B"
"614","not_sure"
"615","not_sure"
"616","not_sure"
"617","not_sure"
"618","not_sure"
"619","not_sure"
"620","not_sure"
"621","B.C"
"622","not_sure"
"623","not_sure"
"624","not_sure"
"625","B"
"626","not_sure"
"627","B.C"
"628","not_sure"
"629","not_sure"
"630","not_sure"
"631","not_sure"
"632","not_sure"
"633","B"
"634","B"
"635","B"
"636","B"
"637","not_sure"
"638","B"
"639","B"
"640","B"
"641","B.D"
"642","not_sure"
"643","not_sure"
"644","B"
"645","not_sure"
"646","not_sure"
"647","not_sure"
"648","not_sure"
"649","B.D"
"650","not_sure"
"651","not_sure"
"652","not_sure"
"653","B.C"
"654","not_sure"
"655","not_sure"
"656","B.C"
"657","not_sure"
"658","not_sure"
"659","B.C"
"660","not_sure"
"661","not_sure"
"662","not_sure"
"663","not_sure"
"664","not_sure"
"665","B.C"
"666","B"
"667","C"
"668","not_sure"
"669","not_sure"
"670","not_sure"
"671","C"
"672","not_sure"
"673","not_sure"
"674","not_sure"
"675","not_sure"
"676","not_sure"
"677","not_sure"
"678","not_sure"
"679","not_sure"
"680","not_sure"
"681","not_sure"
"682","not_sure"
"683","not_sure"
"684","not_sure"
"685","not_sure"
"686","not_sure"
"687","B"
"688","B"
"689","B"
"690","B"
"691","not_sure"
"692","not_sure"
"693","B.D"
"694","not_sure"
"695","not_sure"
"696","not_sure"
"697","not_sure"
"698","not_sure"
"699","not_sure"
"700","C"
"701","not_sure"
"702","not_sure"
"703","C"
"704","not_sure"
"705","C"
"706","C"
"707","C"
"708","not_sure"
"709","not_sure"
"710","B"
"711","not_sure"
"712","C"
"713","not_sure"
"714","C"
"715","C"
"716","C"
"717","C"
"718","C"
"719","C"
"720","C.D"
